Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,Down from 52w high,Up from 52w low,Mkt Cap To Debt Cap,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Market cap to quarterly profit,Market Capitalization
Spice LoungeFood,539895,,INE631E01024,Leisure Services,Restaurants,34.95,14.70,,141.27,2.06,,48.66,391.53,43.11,111.03,14.70,2.06,198.48,,20.27,200.71,,1.03,,0.00,,-4.60,,51.59,354.49,,837.24,0.00,7564.19,1.16,837.27,708.27,2436.45
SpiceJet,500285,SPICEJET,INE285B01017,Transport Services,Airline,21.82,0.73,-4.35,20.00,-1.24,,-93.70,-169.61,-29.37,-187.90,0.73,-1.24,-25.52,-1.32,72.48,-2388.54,-19.91,-24.70,13.23,0.00,,-143.45,0.07,61.58,0.37,-1.36,-2.00,-4.58,,-28.03,-2.00,-5.25,3329.90
Spinaroo Comm.,544392,,INE10XX01012,"Paper, Forest & Jute Products",Paper & Paper Products,44.48,0.83,25.25,14.77,4.48,0.57,34.32,-46.34,5.85,14.76,0.83,4.48,16.68,,4.69,14.65,8.56,0.40,2.63,0.00,29.87,-19.83,0.02,46.90,67.22,,33.48,16.42,45.92,18.47,33.45,70.70,31.11
SPL Industries,532651,SPLIL,INE978G01016,Textiles & Apparels,Trading - Textile Products,30.00,0.98,10.52,7.44,8.47,-0.63,92.01,-121.98,-10.04,209.66,0.98,8.47,10.41,2.10,0.00,140.05,4.05,0.01,1.03,0.00,35.18,17.69,0.26,43.93,13.21,0.44,4.20,10.18,9.02,28.26,4.20,-435.05,87.01
SPML Infra,500402,SPMLINFRA,INE937A01023,Construction,Civil Construction,195.55,2.10,8.96,19.05,2.97,0.07,68.16,24.09,20.43,802.90,2.10,2.97,19.18,0.02,7.32,559.51,15.68,0.50,2.51,0.00,78.44,-14.61,0.15,39.53,43.47,2.89,-17.91,5.04,53.81,63.40,-17.90,100.47,1511.03
Sportking India,539221,SPORTKING,INE885H01029,Textiles & Apparels,Other Textile Products,108.41,0.55,25.24,6.12,4.79,-0.31,26.31,-12.98,2.95,1056.22,0.55,4.79,8.84,0.04,4.68,1375.78,3.24,0.50,2.01,11.78,146.76,-37.94,0.00,22.56,55.07,0.61,3.32,13.47,14.97,51.50,3.32,56.00,1377.59
SPP Polymer,,SPPPOLY,INE0QR801013,Industrial Products,Packaging,16.50,0.24,-3.63,9.79,0.13,,22.62,-1700.00,0.36,49.38,0.24,0.13,325.73,-0.46,9.30,46.37,-13.57,0.21,1.48,68.10,,-41.34,0.00,39.56,24.53,-5.84,-2.58,7.11,,15.75,-2.58,-26.46,25.40
Sprayking Ltd,540079,,INE537U01037,Industrial Products,Other Industrial Products,1.75,0.35,,5.19,4.93,,14.68,530.77,-11.76,39.53,0.35,4.93,6.27,,6.11,56.02,,1.10,3.19,0.00,7.22,-120.09,0.05,60.67,11.46,,-5.41,15.10,4.18,0.73,-5.41,9.02,36.99
Spright Agro,531205,,INE179O01031,Commercial Services & Supplies,Trading & Distributors,0.62,0.60,-3.02,-13.74,-161.67,,89.74,-197.41,-88.71,136.06,0.60,-161.67,-13.74,-0.53,0.02,98.90,-22.30,0.00,0.79,0.00,,-0.18,0.00,92.36,19.23,-0.41,-1.51,29.92,,0.92,-1.51,-6.42,66.43
Spunweb Nonwoven,,SPUNWEB,INE19QH01010,Textiles & Apparels,Other Textile Products,127.25,1.18,60.73,9.08,3.77,0.35,28.75,46.12,10.93,103.81,1.18,3.77,11.58,,9.17,153.87,4.80,0.90,3.21,0.00,180.94,-32.02,0.00,26.68,20.56,,103.96,15.76,47.29,31.08,103.97,28.56,306.71
Square Four Pro.,526532,,INE716K01020,Chemicals & Petrochemicals,Commodity Chemicals,8.50,,21.92,-72.08,,,,-20.00,,19.43,,,-72.08,-0.06,-17.75,17.05,3.42,0.07,1.14,0.00,,-8.04,0.06,34.62,16.44,222.27,18.72,-0.37,,-0.51,18.73,-277.83,16.67
Sr.Rayala.Hypo,532842,SRHHYPOLTD,INE917H01012,Chemicals & Petrochemicals,Commodity Chemicals,486.70,1.26,7.30,3.10,70.77,-3.30,86.25,4.10,1.18,1009.92,1.26,70.77,3.23,1.28,0.14,681.76,13.15,0.01,1.07,5.55,1951.88,42.94,0.42,32.12,14.37,0.69,9.54,19.00,6.87,331.77,9.52,34.28,835.42
Sreechem Resins,514248,,INE377C01010,Chemicals & Petrochemicals,Commodity Chemicals,42.00,0.57,7.09,-109.06,-3.22,,17.57,3.51,3.21,13.64,0.57,-3.22,-25.05,0.43,-2.65,11.16,14.52,0.07,1.31,0.00,,-5.10,0.00,20.90,43.54,0.70,5.36,10.16,,12.86,5.36,-32.07,17.64
Sreeleathers,535601,SREEL,INE099F01013,Consumer Durables,Footwear,212.00,2.06,18.08,14.04,94.51,1.83,1.04,-12.54,-18.48,484.38,2.06,94.51,14.60,0.85,0.11,154.16,6.15,0.01,1.00,0.00,171.31,0.87,0.02,25.09,2.79,1.73,18.04,8.80,20.50,1.07,18.00,64.76,490.89
Srestha Finvest,539217,,INE606K01049,Finance,Investment Company,0.30,5.27,-1.30,-1.56,-29.35,,1967.24,-596.77,-66.30,164.38,5.27,-29.35,-1.54,-0.63,-1.37,185.20,-18.76,0.29,1.22,0.00,,-83.50,0.17,55.88,20.00,-0.18,-0.92,-6.37,,1.12,-0.92,-4.56,49.20
SRF,503806,SRF,INE647A01010,Chemicals & Petrochemicals,Commodity Chemicals,2951.95,5.65,217.43,26.57,8.61,-3.69,3.97,11.46,1.99,13262.60,5.65,8.61,34.93,0.04,3.68,15783.92,2.38,0.39,1.66,17.12,1218.56,-5.48,0.00,11.22,14.86,3.08,35.17,15.78,312.79,20.74,35.18,174.02,87503.13
SRG Housing,534680,SRGHFL,INE559N01010,Finance,Housing Finance Company,267.10,2.30,-3.41,9.50,1.51,2.27,10.21,-0.48,5.52,279.24,2.30,1.51,10.05,-1.99,28.09,40.64,-16.41,2.45,2.92,0.00,375.05,-155.93,0.06,28.16,6.16,-0.44,-3.19,12.94,21.52,11.88,-3.19,51.08,419.40
Sri Adhik. Bros.,530943,AQYLON,INE416A01044,Entertainment,TV Broadcasting & Software Production,2028.95,1019.42,409.01,30116.12,0.01,,-647.52,-522.73,-97.84,-11.05,1019.42,0.01,511974.00,0.00,0.00,-16.65,988.24,-0.03,-5.84,0.00,,0.54,0.01,10.22,366.32,-390.74,887.01,39.22,,-12.87,886.07,-2767.77,5148.05
Sri Chakra Cem.,518053,,INE827D01020,Cement & Cement Products,Cement & Cement Products,52.47,0.38,4.19,-3.05,-8.69,,-63.50,-88.42,-22.78,-23.06,0.38,-8.69,-2.03,0.21,-0.53,0.15,15.91,-1.31,-13.59,0.00,,-59.72,0.05,47.15,398.29,0.33,-3.03,-24.75,,-88.79,-3.03,-5.00,47.22
Sri Havisha,531322,HAVISHA,INE293B01029,Leisure Services,Hotels & Resorts,1.69,1.94,27.12,101.63,-0.38,,-34.58,15.17,11.83,22.22,1.94,-0.38,-40.89,-1.45,-10.83,49.29,1.40,2.31,2.96,0.00,,-192.83,0.06,44.59,19.01,0.94,30.16,2.96,,-0.30,30.17,-17.19,25.95
Sri KPR Inds.,514442,,INE009C01019,Industrial Products,Plastic Products - Industrial,21.55,3.31,-11.61,4.95,,0.08,410.52,424.24,94.57,126.21,3.31,,8.10,0.90,0.17,134.91,-3.11,0.01,1.09,0.00,33.61,2.97,0.08,43.30,13.36,-5.53,-7.55,4.73,3.35,26.80,-7.57,12.55,43.43
Sri Lak.Sar.Arni,521161,,INE456D01010,Textiles & Apparels,Other Textile Products,28.82,0.10,-1.33,-5.11,-2.05,,-96.54,12.47,6.46,-75.66,0.10,-2.05,-4.31,-4.09,-1.94,-70.54,28.47,-0.55,-0.59,0.00,,-406.25,0.21,44.36,15.79,-4.63,-0.50,0.00,,-287.27,-0.51,-2.91,9.60
Sri Lotus,544469,LOTUSDEV,INE0V9Q01010,Realty,"Residential, Commercial Projects",147.55,11.07,242.87,20.33,191.37,0.15,274.06,51.49,27.21,1747.55,11.07,191.37,20.44,,0.61,1790.05,3.58,0.11,1.05,0.00,241.33,2.65,0.03,32.47,7.23,,-369.78,26.45,130.33,36.53,-369.80,103.39,7211.16
Sri Nacha. Cott.,521234,,INE443E01016,Textiles & Apparels,Other Textile Products,32.63,0.20,1.53,124.43,-0.53,,13.10,-119.52,36.52,20.44,0.20,-0.53,-29.20,-0.79,-13.56,55.92,15.16,2.28,5.72,0.00,47.95,-332.15,0.00,27.39,30.52,0.11,35.98,-1.69,,20.86,35.97,-13.36,14.03
Sri Ramakr. Mill,521178,,INE306D01017,Textiles & Apparels,Other Textile Products,43.50,0.38,21.80,30.04,-0.12,,-2.18,-29.17,-4.13,20.50,0.38,-0.12,-163.28,-0.20,8.97,29.90,2.50,1.66,3.06,0.00,,-109.69,0.00,32.97,20.83,0.29,-110.30,15.42,,-2.49,-110.61,-29.50,30.97
Srigee DLM,544399,,INE0RJ901010,Industrial Manufacturing,Industrial Products,81.00,0.86,3645.00,8.43,10.86,0.19,33.17,-50.37,-40.61,34.67,0.86,10.86,9.79,,3.98,27.31,0.07,0.56,1.48,0.00,316.00,-40.79,0.02,74.95,31.28,,60.00,32.95,15.92,30.98,59.74,36.11,48.39
Srivari Spices &,,SSFL,INE0ON201012,Food Products,Other Food Products,103.00,0.65,-6.20,5.04,7.90,0.05,40.82,48.23,28.93,65.83,0.65,7.90,5.84,-0.55,3.43,75.15,-24.10,0.50,1.17,4.41,596.50,-37.78,0.00,52.31,19.77,-1.48,-32.09,32.97,9.90,64.20,-31.98,12.38,88.27
Srivasavi Adhes.,,SRIVASAVI,INE0NPI01014,Industrial Products,Other Industrial Products,50.00,0.69,-26.26,8.76,24.72,0.57,22.21,20.88,5.16,43.68,0.69,24.72,10.12,-0.07,1.37,45.75,-6.90,0.21,1.32,0.00,96.34,-12.78,0.00,39.69,28.21,6.62,39.01,22.83,21.01,16.04,38.94,23.54,70.87
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,419.75,1.35,-80.15,7.95,14.79,0.35,31.76,48.85,33.85,298.82,1.35,14.79,9.09,0.10,1.19,347.85,-5.00,0.20,1.17,0.00,1090.63,3.46,0.08,35.65,46.23,6.87,890.03,29.66,44.86,98.70,891.79,49.54,963.13
SRM Energy Ltd,523222,,INE173J01018,Power,Power Generation,19.00,,-57.00,-13.19,,,,16.67,,-5.62,,,-13.19,-0.38,-14.16,-5.57,-25.82,-1.05,-0.32,0.00,,-34.28,0.00,36.81,238.68,-3.82,-96.06,-30.20,,-6.12,-95.61,-172.10,17.21
SRU Steels,540914,,INE425C01017,Commercial Services & Supplies,Trading & Distributors,3.52,0.41,-1.52,12.71,,,109.23,-114.07,-85.75,60.33,0.41,,13.28,-0.99,0.00,60.28,-37.69,0.20,0.63,0.00,6.12,-43.36,0.06,62.87,19.32,-0.20,-0.54,3.81,5.56,9.43,-0.54,-111.05,21.10
SSMD Agrotech,544621,,INE1U2R01013,Food Products,Packaged Foods,47.90,0.42,,5.44,10.70,,6.22,,,6.92,0.42,10.70,5.73,,1.13,7.97,,,1.36,0.00,,-12.31,0.01,40.46,8.86,,16.94,124.88,,7.09,16.87,,41.51
SSPDL Ltd,530821,,INE838C01011,Realty,"Residential, Commercial Projects",10.96,13.12,1.07,-120.06,-0.33,,-1979.63,-2.55,,-1.15,13.12,-0.33,-71.15,-1.63,-23.37,-9.14,26.70,-44.53,37.72,0.00,,-328.16,0.21,53.76,15.37,0.20,1.33,-4.62,,-16.57,1.34,-8.80,14.17
Stallion India,544342,STALLION,INE0RYC01010,Chemicals & Petrochemicals,Industrial Gases,163.45,3.23,-59.28,22.55,27.80,2.16,60.22,-2.54,-0.86,317.84,3.23,27.80,22.97,0.01,0.04,309.67,-12.96,0.02,0.89,0.00,112.15,4.42,0.03,54.68,220.87,-6.77,-141.30,20.06,194.43,24.50,-113.56,137.02,1525.08
Stanbik Agro,544659,,INE16QA01011,,,33.00,0.84,-13.23,9.56,113.75,0.02,31.32,,,16.74,0.84,113.75,9.63,,0.02,16.74,-33.12,,1.08,0.00,,0.39,0.00,5.71,20.00,,-4.49,117.03,,12.36,-4.50,,43.97
Standard Battery,504180,,INE502C01039,Finance,Non Banking Financial Company (NBFC),50.90,,46.71,-46.00,,,,0.00,,1.18,,,-46.00,0.00,0.00,0.64,26.98,0.33,1.46,0.00,,-0.38,0.01,35.57,41.59,-15.95,13.10,-29.51,,2.46,26.06,-188.00,26.32
Standard Engineering Technology,544333,SETL,INE0M4D01010,Industrial Manufacturing,Industrial Products,136.10,3.80,-54.72,21.69,10.92,0.98,81.90,-0.29,4.81,747.86,3.80,10.92,24.53,,2.00,738.78,-7.53,0.22,1.15,0.00,97.16,-1.63,0.03,33.27,23.54,,517.18,27.63,131.22,29.30,517.16,141.48,2715.09
Standard Inds.,530017,SIL,INE173A01025,Realty,Real Estate related services,16.52,3.18,-4.10,-8.26,-6.65,,190.79,-551.96,-39.18,131.33,3.18,-6.65,-6.81,0.49,-0.18,89.84,-17.82,0.35,1.36,0.00,,-40.80,0.04,31.17,26.98,-3.85,171.33,-0.50,,9.92,171.40,-15.98,106.27
Standard Shoe,523351,,INE888N01013,Chemicals & Petrochemicals,Specialty Chemicals,22.52,,-87.83,-93.31,,,,80.00,,-0.86,,,-93.31,-0.06,-2.42,-0.85,33.76,-0.53,-0.18,0.00,,-3.94,0.00,0.00,37.07,-11.67,-73.19,-151.22,,-1.63,-72.94,-1167.00,11.67
Standard Surfact,526231,,INE307D01015,Chemicals & Petrochemicals,Commodity Chemicals,53.50,0.23,-3.54,14.20,1.97,-1.39,7.84,-130.43,-0.26,29.62,0.23,1.97,18.56,-1.57,45.03,60.12,-17.18,2.32,2.95,0.00,51.07,-153.51,0.02,22.46,40.79,-6.31,26.75,5.97,37.04,18.36,26.63,-315.71,44.20
Stanley Lifesty.,544202,STANLEY,INE01A001028,Consumer Durables,"Furniture, Home Furnishing",185.00,2.42,49.44,12.24,2.95,3.15,31.01,-23.08,-3.04,466.80,2.42,2.95,22.09,-0.01,11.31,602.10,3.79,0.72,1.41,0.00,77.62,-18.60,0.09,50.99,8.60,1.74,15.47,13.95,74.15,23.71,15.47,188.72,1056.85
Stanpacks(India),530931,,INE457D01018,Industrial Products,Packaging,11.25,0.23,4.65,11.27,1.13,,10.35,-175.00,-26.60,7.11,0.23,1.13,16.98,-0.49,63.17,7.21,9.66,1.07,2.34,0.00,0.00,-110.51,0.00,36.22,12.50,0.41,2.65,2.90,,5.08,2.64,-114.17,6.85
Stanrose Mafat.,506105,,INE441L01015,Finance,Investment Company,67.00,18.73,446.67,-10.60,-155.50,,41.55,-33.33,26.42,39.99,18.73,-155.50,-8.93,1.32,-0.97,5.85,0.13,0.05,1.15,0.00,,-5.75,0.03,29.47,11.11,2.11,670.00,-3.09,,1.48,665.00,-30.23,26.60
Star Cement,540575,STARCEMENT,INE460H01021,Cement & Cement Products,Cement & Cement Products,217.85,2.41,-25.49,10.35,12.91,-2.00,10.51,4.42,8.52,3008.50,2.41,12.91,17.08,0.07,3.81,3041.39,-11.26,0.36,1.34,0.00,121.74,-11.55,0.01,29.49,10.75,1.84,29.70,13.89,70.65,9.51,29.70,111.34,8805.07
Star Delta Trans,539255,,INE541K01014,Electrical Equipment,Heavy Electrical Equipment,480.10,0.88,-18.58,8.45,11.78,0.30,50.70,-48.11,21.00,90.58,0.88,11.78,8.84,-0.06,0.55,89.85,-9.54,0.46,1.07,0.00,1418.44,-22.25,0.06,46.38,14.58,-2.81,43.51,18.55,20.46,277.57,43.51,69.92,144.03
Star Health Insu,543412,STARHEALTH,INE575P01011,Insurance,General Insurance,479.10,1.63,22.77,46.81,,1.68,0.00,133.55,4.31,588.40,1.63,,46.81,0.13,0.00,0.00,17.21,,2.73,0.00,,1.35,0.02,10.28,46.38,2.30,20.45,14.79,,0.00,20.45,219.86,28190.14
Star Housing Fin,539017,,INE526R01028,Finance,Housing Finance Company,9.88,0.79,-1.34,6.82,1.20,0.06,44.88,29.71,15.31,146.54,0.79,1.20,6.94,-6.11,35.29,47.99,-20.62,2.75,3.63,7.11,24.41,-384.24,1.22,74.03,18.32,-0.10,-2.13,10.80,9.14,3.16,-1.20,43.58,78.00
Star Imaging,544482,,INE0YG001013,Healthcare Services,Healthcare Service Provider,79.00,1.60,-490.93,3.45,10.93,0.19,98.83,2.98,10.46,102.95,1.60,10.93,4.09,,1.27,111.04,-0.39,0.21,1.91,0.00,151.75,-12.08,0.08,48.03,7.48,,-22.80,24.87,8.91,48.90,-22.82,13.69,137.63
Star Paper Mills,516022,STARPAPER,INE733A01018,"Paper, Forest & Jute Products",Paper & Paper Products,144.00,0.54,9.93,3.69,48.60,2.44,79.47,1.64,3.17,701.51,0.54,48.60,4.21,1.55,0.11,756.92,3.38,0.13,1.18,13.28,338.63,-26.12,0.12,24.19,4.20,0.67,15.14,12.66,1.93,212.47,15.15,17.26,224.79
Starlineps Enter,540492,,INE594W01042,Metals & Minerals Trading,Trading - Minerals,8.99,4.02,59.86,82.23,16.13,0.63,33.66,78.41,193.24,35.31,4.02,16.13,83.08,0.05,1.42,33.21,18.45,0.27,1.26,0.00,2.56,1.56,0.04,0.00,373.16,7.62,130.57,14.31,1029.52,0.75,130.58,207.93,326.45
Starlog Enterp.,520155,,INE580C01019,Transport Infrastructure,Port & Port services,36.39,5.28,0.59,-9.08,-7.58,,406.40,40.58,19.21,70.32,5.28,-7.58,-4.82,0.66,0.02,71.64,156.48,2.71,2.10,0.00,,-345.22,0.08,60.60,13.47,0.63,-3.31,0.72,,27.93,-3.31,-25.09,54.45
Starsource Multitrade,506365,,INE320M01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,118.00,33.40,-221.25,-1.47,,,9.43,100.85,,1.44,33.40,,-1.47,0.57,0.06,0.05,-0.62,0.01,1.00,0.00,,59.89,0.47,22.83,87.15,-7.22,-63.21,6.41,,0.33,-63.21,177.00,17.70
Starteck Fin.,512381,STARTECK,INE992I01013,Finance,Non Banking Financial Company (NBFC),277.05,7.64,5.50,11.42,2.13,2.71,-50.90,1.63,7.84,254.26,7.64,2.13,11.55,0.10,26.38,98.32,11.47,1.08,2.05,2.38,206.83,-99.93,0.02,23.42,10.38,1.16,10.00,7.48,14.33,-18.47,10.01,36.71,274.57
Std. Capital Mkt,511700,,INE625D01028,Finance,Non Banking Financial Company (NBFC),0.52,0.53,,5.59,1.38,,-1196.91,174.11,-31.36,323.21,0.53,1.38,5.64,,47.20,-2849.78,,7.76,3.09,6.21,7.97,-1951.68,0.09,36.59,48.57,,-0.19,9.02,0.67,-11.69,-0.19,3.80,127.64
Steel City Sec.,,STEELCITY,INE395H01011,Capital Markets,Stockbroking & Allied,83.33,2.12,-23.55,3.64,21.04,1.22,150.79,18.85,-0.97,133.73,2.12,21.04,3.81,0.60,0.68,120.56,-4.16,0.48,1.63,35.24,136.01,-2.08,0.49,28.72,2.65,1.66,36.26,15.45,8.55,59.38,36.27,33.83,125.86
Steel Exchange,534748,STEELXIND,INE503B01021,Industrial Products,Iron & Steel Products,8.08,0.88,27.90,8.76,1.70,-0.67,28.32,-79.37,-22.75,750.51,0.88,1.70,10.55,-0.17,13.82,931.56,3.43,0.58,1.81,0.00,6.67,-41.07,0.02,30.04,14.45,1.49,10.42,8.85,41.58,2.61,10.42,477.63,1007.79
Steel Str. Wheel,513262,SSWL,INE802C01033,Auto Components,Auto Components & Equipments,225.35,0.72,48.97,8.73,3.20,21.94,0.15,27.64,10.02,1635.20,0.72,3.20,11.41,0.01,4.30,1960.43,3.04,0.61,2.14,9.34,228.07,-28.01,0.00,19.52,34.61,0.94,6.84,18.96,38.21,0.49,6.84,72.02,3542.06
Steel Strips Inf,513173,,INE205F01016,Realty,"Residential, Commercial Projects",22.17,14.31,19.07,9.91,,,-383.58,-151.29,-23.08,87.68,14.31,,9.91,4.94,0.00,-5.04,1.23,0.00,1.34,0.00,68.17,0.99,0.01,32.61,23.17,2.34,19.46,-1.37,2.18,-5.98,19.56,-1.12,19.17
Steelcast,513517,STEELCAS,INE124E01038,Industrial Products,Castings & Forgings,234.00,5.50,37.73,17.46,239.37,0.88,44.05,-11.29,-8.67,359.94,5.50,239.37,19.28,0.10,0.00,346.00,21.07,0.00,1.09,20.18,98.43,0.26,0.00,8.52,64.66,3.24,32.11,38.45,172.33,18.75,32.11,115.01,2368.09
Steelco Gujarat,500399,,INE629B01024,Industrial Products,Iron & Steel Products,71.12,1.53,2.54,-13.09,-1.35,,-15.72,-69.61,5663.64,27.53,1.53,-1.35,-9.58,,-5.53,134.06,10.22,4.10,4.04,0.00,,-315.06,0.03,0.00,374.13,,6.79,-5.18,,-7.24,6.74,-4.49,35.32
Steelman Telecom,543622,,INE0MSK01016,Telecom - Services,Other Telecom Services,69.50,0.27,-2.18,18.96,-1.52,,-2.07,-1419.12,-9.75,32.09,0.27,-1.52,-12.76,,-9.92,43.42,-30.21,4.13,3.70,0.00,,-176.18,0.21,61.39,0.00,,-9.07,-3.91,,-5.26,-9.05,-23.94,67.26
STEL Holdings,533316,STEL,INE577L01016,Finance,Investment Company,493.80,22.57,39.77,22.09,,11.01,8.82,89.17,85.54,1855.56,22.57,,22.12,2.28,0.00,4.29,1.41,0.00,1.00,0.00,427.90,2.98,0.03,22.24,59.24,4.94,21.16,1.65,15.11,1.92,21.11,72.44,911.33
Stellant Secu.,526071,,INE395F01023,Finance,Other Financial Services,683.80,5.77,622.15,5.24,4175.00,0.03,90.95,1620.00,1669.40,32.98,5.77,4175.00,5.24,0.01,0.00,39.88,25.82,0.00,0.73,0.00,427.48,0.73,0.01,0.00,21887.14,89.62,272.05,44.45,61.96,107.78,272.23,8.66,253.17
Stellar Capital,536738,,INE325P01011,Finance,Other Financial Services,5.99,5.75,4.80,-23.46,-15.25,,-165.00,128.50,65.31,62.71,5.75,-15.25,-12.89,2.35,7.00,-2.78,6.39,0.01,1.04,0.00,,-5.08,0.01,24.65,22.75,0.40,1.32,-0.93,,-1.72,1.31,26.23,14.95
Step Two Corp.,531509,,INE623D01015,Finance,Other Financial Services,29.00,5.35,26.39,8.76,79.67,,5.74,127.93,,6.34,5.35,79.67,8.87,0.52,0.00,0.35,14.42,0.00,1.01,0.00,21.10,5.60,0.03,35.37,17.17,3.44,-51.10,1.10,27.37,0.31,-51.05,69.16,21.44
Sterling & Wils.,542760,SWSOLAR,INE00M201021,Construction,Civil Construction,202.85,0.58,-11.22,12.90,2.91,0.81,8.63,100.32,19.65,470.14,0.58,2.91,13.26,-0.47,14.33,741.43,-24.82,4.44,4.93,0.00,,-29.08,0.11,41.86,14.86,-0.69,125.04,-14.89,227.32,30.02,125.06,215.91,4737.12
Sterling Green,526500,,INE398F01019,Leisure Services,Hotels & Resorts,27.88,10.10,14.52,93.15,0.16,,-1035.04,-14.58,-50.00,10.95,10.10,0.16,127.47,-0.75,-13.79,7.26,3.13,1.27,2.69,0.00,,-96.28,0.11,46.00,7.23,7.27,-15.21,-2.29,,-28.83,-15.35,-21.49,11.82
Sterling Powerg.,513575,,INE067E01013,Industrial Manufacturing,Industrial Products,23.80,3.89,14.50,-25.84,-4.43,,49.38,-11.11,5.06,0.02,3.89,-4.43,-24.18,-0.30,13.00,2.72,32.04,116.98,61.27,0.00,,-19.71,0.02,59.89,5.78,-2.36,-13.71,-11.34,,3.00,-13.62,-62.65,12.53
Sterling Tools,530759,STERTOOLS,INE334A01023,Auto Components,Auto Components & Equipments,236.70,1.07,16.77,8.93,6.17,0.80,25.24,-90.92,-0.99,528.87,1.07,6.17,14.70,0.25,2.87,535.52,8.40,0.32,1.50,12.42,263.44,-2.69,0.15,44.75,8.63,1.05,6.96,14.05,42.74,56.01,6.96,186.21,860.27
Sterlite Tech.,532374,STLTECH,INE089C01029,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,142.00,1.59,32.04,15.25,1.07,,-6.62,-525.00,21.57,2054.00,1.59,1.07,35.18,0.05,-15.62,2668.00,4.64,0.99,3.45,0.00,,-22.45,0.06,13.10,171.77,1.07,19.92,5.77,1923.44,-5.92,19.92,-990.15,6931.05
STL Global,532730,SGL,INE353H01010,Textiles & Apparels,Other Textile Products,12.40,0.30,10.96,24.77,1.02,,17.57,380.00,3.58,26.41,0.30,1.02,54.22,0.19,-22.53,36.40,7.13,0.68,2.46,0.00,,-51.98,0.01,40.36,23.51,0.40,6.23,-0.18,,7.26,6.22,121.61,34.05
STL Networks,544395,STLNETWORK,INE1VXE01018,Telecom - Services,Other Telecom Services,21.81,1.14,,40.07,0.30,,67.85,45.52,45.21,864.49,1.14,0.30,55.82,,-25.88,760.28,,,,0.00,,,,38.39,21.23,,,0.00,,13.03,,-138.93,1064.20
Storage Tech,544171,,INE0RGM01016,Industrial Products,Other Industrial Products,52.00,0.68,-16.09,13.03,1.87,0.81,31.51,-162.50,-7.38,40.30,0.68,1.87,19.74,-0.19,3.50,40.03,-9.92,0.32,1.60,0.00,45.56,-11.49,0.05,60.21,16.85,-3.22,-4.06,26.60,119.17,24.09,-4.07,-43.07,66.76
Stove Kraft,543260,STOVEKRAFT,INE00IN01015,Consumer Durables,Household Appliances,534.40,1.17,148.31,12.63,2.65,-4.02,-4.28,-80.57,-20.25,494.40,1.17,2.65,25.86,0.04,5.10,526.81,1.58,0.43,2.44,25.77,265.03,-11.48,0.01,35.03,17.93,1.70,13.62,11.59,169.95,-19.48,13.62,426.33,1769.25
Stovec Inds.,504959,,INE755D01015,Industrial Manufacturing,Industrial Products,1954.80,2.02,33.85,21.53,568.50,-2.16,48.35,-59.46,-27.96,130.25,2.02,568.50,32.98,0.23,0.00,127.22,9.15,0.01,1.40,185.46,603.48,10.09,0.12,34.82,7.11,2.03,25.25,11.87,154.62,466.76,25.13,340.45,408.54
Stratmont Indus.,530495,,INE473C01025,Commercial Services & Supplies,Trading & Distributors,81.70,1.75,-13.04,61.95,2.43,4.98,21.66,-45.59,11.12,30.78,1.75,2.43,77.00,-0.19,18.04,36.33,-45.61,0.61,1.97,0.00,23.46,-7.98,0.00,32.48,80.31,-2.20,-9.95,11.58,1366.08,10.09,-9.95,629.24,232.82
Strides Pharma,532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,876.05,1.71,21.29,9.22,4.60,0.09,8.95,58.25,-2.14,2755.84,1.71,4.60,11.34,-0.03,0.51,2726.13,8.38,0.70,2.30,1.03,657.23,-22.36,0.02,14.53,70.75,1.95,11.80,7.21,43.34,45.85,11.80,39.42,8074.74
String Metaverse,534535,,INE958L01026,IT - Services,IT Enabled Services,156.30,2.11,-89.33,18.69,,,6.51,28.88,19.72,254.40,2.11,,22.05,,0.00,250.06,-14.95,0.00,0.87,0.00,40.59,0.54,0.01,51.81,240.00,,36.88,20.72,162.66,4.83,36.89,65.65,1819.84
Studds Accessor.,544599,STUDDS,INE00Q601028,Auto Components,Auto Components & Equipments,521.00,3.51,70.90,16.77,70.97,0.80,20.09,0.48,5.56,480.34,3.51,70.97,20.36,0.11,0.13,502.06,6.78,0.03,1.16,14.13,205.22,2.74,0.03,13.17,10.25,3.00,32.45,18.92,118.19,29.76,32.41,98.95,2050.30
