Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return over 3months,Return over 6months,Is SME,Is not SME,Volume 1month average,Volume 1week average,Volume,Low price,High price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Gautam Gems,540936,,INE063Z01017,Consumer Durables,"Gems, Jewellery And Watches",3.51,-10.46,-19.31,0,1,36081,40226,28125,3.01,5.35,58.12,3.01,0.29,-1.68,-4.10,3.69,4.30,3.70,4.31,46.38,-0.07,-0.07,-0.08,-0.09,-20.95,-43.87,-37.48,42185,-32.97,,14.34
Gayatri BioOrga.,524564,,INE052E01015,Chemicals & Petrochemicals,Commodity Chemicals,14.28,20.30,25.26,0,1,12840,10018,12534,5.35,19.99,30.00,1.27,1.93,4.23,-2.19,14.08,11.65,14.07,11.63,50.33,-0.08,-0.10,-0.11,-0.11,105.17,22.18,31.37,28477,30.38,-0.15,112.51
Gayatri Highways,541546,GAYAHWS,INE287Z01012,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",2.50,-40.05,19.62,0,1,426411,267868,203163,0.74,4.76,10.90,0.15,4.60,20.19,-7.06,2.60,2.44,2.61,2.44,55.32,-0.13,-0.16,-0.20,-0.22,145.10,46.20,30.92,393672,18.77,,59.91
Gayatri Projects,532767,GAYAPROJ,INE336H01023,Construction,Civil Construction,12.70,10.15,50.30,0,1,471909,342927,342927,5.39,12.87,228.22,4.54,4.96,4.96,4.96,10.18,8.65,10.08,8.60,89.27,0.79,0.76,0.75,0.74,75.90,22.26,-22.00,332588,-30.18,-18.33,237.74
Gayatri Rubbers,,GRCL,INE0LVM01018,Industrial Products,Rubber,400.00,0.03,2.56,1,0,1485,1750,1250,306.65,525.25,525.25,32.00,-1.96,0.25,11.73,377.23,392.11,376.30,392.03,58.77,9.89,9.21,1.99,0.02,-8.24,111.22,,1409,,,229.52
Gayatri Sugars,532183,,INE622E01023,Agricultural Food & other Products,Sugar,10.19,-24.52,-19.95,0,1,142328,90867,80425,7.02,16.69,30.45,0.41,0.10,2.72,10.04,10.44,11.82,10.45,11.84,52.83,0.00,-0.02,-0.11,-0.14,-15.30,49.17,38.91,132580,25.48,8.76,75.72
GB Logistics,544348,,INE0RWU01016,Transport Services,Logistics Solution Provider,44.76,9.04,-0.36,1,0,7906,7500,1200,33.30,66.57,85.65,33.30,-4.77,-2.86,-9.30,48.60,51.48,48.76,51.55,41.39,-0.86,-0.71,-0.95,-0.97,-17.52,,,24402,,,36.68
GCM Capital,538319,,INE191P01017,Finance,Other Financial Services,4.92,-13.23,6.96,1,0,4667,0,0,3.97,8.18,141.60,0.70,0.00,0.00,0.00,5.16,5.67,5.17,5.68,46.02,-0.09,-0.09,-0.05,-0.04,-19.61,-15.35,30.90,10763,13.64,,8.33
GCM Commodity,535917,,INE200P01016,Finance,Other Financial Services,4.64,-11.11,3.80,1,0,13200,18000,30000,3.30,6.15,21.25,1.95,-9.90,7.41,2.88,4.92,5.58,4.93,5.59,49.88,-0.09,-0.11,-0.13,-0.14,-25.52,-14.37,,12720,,-0.17,3.45
GCM Securit.,535431,,INE168O01026,Capital Markets,Stockbroking & Allied,0.78,-15.22,-4.88,0,1,437628,965420,85552,0.63,1.05,90.25,0.63,0.00,2.63,-1.27,0.78,0.84,0.78,0.84,53.27,0.00,-0.01,-0.01,-0.01,-15.22,-34.61,-34.34,215043,,-26.73,14.82
Gconnect Logitec,544156,,INE0QHY01011,Transport Services,Logistics Solution Provider,17.50,-17.45,-20.92,1,0,5250,0,0,17.00,30.38,90.00,17.00,-2.78,0.00,-7.89,20.75,30.36,20.88,30.49,39.14,-0.71,-0.62,-0.79,-0.81,-45.26,,,10252,,,6.51
GDL Leasing,530855,,INE545E01018,Finance,Non Banking Financial Company (NBFC),107.15,30.80,,0,1,6294,6753,10736,8.74,169.80,169.80,7.21,0.33,-5.39,-34.36,124.23,70.27,124.92,69.90,26.74,-8.81,-8.09,-3.13,-1.71,,,,2632,,,53.68
GE Power,532309,GVPIL,INE878A01011,Electrical Equipment,Heavy Electrical Equipment,342.60,14.09,1.78,0,1,164427,178196,199873,196.00,394.00,1109.00,97.45,-1.68,1.24,11.40,316.86,318.66,315.81,318.42,63.28,6.65,5.11,-0.42,-2.19,39.47,39.37,4.18,443109,-10.63,-5.45,2303.21
GE Shipping Co,500620,GESHIP,INE017A01032,Transport Services,Shipping,1342.70,18.20,38.31,0,1,626016,764572,952133,797.25,1368.90,1543.70,130.80,2.25,8.39,22.06,1150.09,1064.92,1142.23,1062.13,83.44,51.58,45.31,33.99,29.59,51.80,29.41,39.24,513791,25.13,16.63,19169.35
