Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Reserves,Balance sheet total,Net block,Gross block,Current assets,Current liabilities,Contingent liabilities,Total Assets,Working capital,Face value,Cash Equivalents,Trade Payables,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Diligent Indust.,531153,,INE650C01036,Agricultural Food & other Products,Edible Oil,2.55,38.03,42.59,112.88,11.70,21.69,97.24,30.25,11.79,112.88,66.99,1.00,0.54,3.18,57.06,0.71,10.76,18.85,15.82,10.37,4.52,31.36,24.52,17.07,12.75,7.41,7.73,60.81
Diligent Media,540789,DNAMEDIA,INE016M01021,Media,Electronic Media,3.76,436.27,-258.08,198.32,0.03,0.43,188.13,5.58,2256.98,198.32,182.55,1.00,0.89,2.83,436.27,94.47,0.20,0.42,-293.59,-388.55,-77.05,436.27,863.52,406.34,0.00,176.88,258.99,44.26
Dilip Buildcon,540047,DBL,INE917M01012,Construction,Civil Construction,458.00,10374.95,5609.51,20579.14,1405.67,4281.51,10048.23,6610.12,1701.91,20579.14,3438.11,10.00,694.03,2324.57,7240.35,2195.65,1530.84,4247.15,2779.47,1139.14,-240.15,8783.20,9060.08,3511.55,1789.33,2908.19,2044.16,7439.99
Dindigul Farm,544201,,INE0S6R01027,Food Products,Dairy Products,13.60,19.56,11.69,66.91,19.31,41.64,41.92,15.12,0.00,66.91,26.80,10.00,4.24,9.95,21.86,14.37,11.48,36.80,-14.73,-2.05,,25.80,27.31,,11.96,15.68,,33.22
Dipna Pharmachem,543594,,INE0MC401013,Pharmaceuticals & Biotechnology,Pharmaceuticals,12.50,13.79,34.84,177.48,0.05,0.13,177.43,108.06,0.00,177.48,69.37,10.00,0.69,89.49,19.45,50.03,0.04,0.11,7.50,3.87,,10.19,9.57,,0.04,0.04,0.01,32.86
Disa India,500068,,INE131C01011,Industrial Manufacturing,Industrial Products,13353.00,0.11,272.22,439.41,61.69,102.16,358.07,165.74,1.08,439.41,192.33,10.00,208.45,50.82,1.94,185.93,40.46,83.55,160.65,140.11,75.25,3.79,0.00,0.00,30.59,16.97,15.68,1941.80
Dish TV India,532839,DISHTV,INE836F01026,Entertainment,TV Broadcasting & Software Production,3.49,16.34,-3653.11,2270.67,993.80,22153.64,766.40,5725.56,1513.29,2270.67,-4959.16,1.00,136.28,507.85,2.25,-4635.19,1071.62,21748.21,-4960.96,-6507.52,-2540.16,377.61,1784.44,1483.88,3017.68,7681.33,12184.91,642.61
Disha Resources,531553,,INE193D01019,Commercial Services & Supplies,Diversified Commercial Services,19.06,0.50,22.56,30.93,0.00,0.01,1.72,0.55,0.42,30.93,1.17,10.00,0.02,0.55,2.25,2.13,0.00,0.00,0.30,1.10,0.15,3.04,0.00,0.00,0.00,0.00,0.00,13.94
Dishman Carbogen,540701,DCAL,INE385W01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,209.05,2558.80,6333.60,11109.14,7953.50,10551.27,2442.58,2217.51,423.42,11109.14,225.07,2.00,615.71,195.80,2312.60,-649.82,6724.40,10314.25,126.40,103.41,,1829.89,1357.44,,5772.70,5677.92,5065.87,3277.56
Divgi Torq,543812,DIVGIITTS,INE753U01022,Auto Components,Auto Components & Equipments,654.60,0.83,592.80,689.02,251.85,391.77,416.81,73.40,6.03,689.02,343.41,5.00,286.34,53.11,1.57,327.67,227.09,338.56,206.72,118.52,,0.48,51.15,,111.77,89.39,71.79,2001.94
Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,6325.25,90.00,15360.00,18151.00,5678.00,7868.00,9843.00,1728.00,8.00,18151.00,8115.00,2.00,3261.00,1040.00,3.00,8397.00,4739.00,6760.00,7155.95,2781.65,1263.86,3.69,38.85,26.62,4325.05,2781.85,1996.19,167915.48
Divine Hira Jew.,,DIVINEHIRA,INE0NA501011,Consumer Durables,"Gems, Jewellery And Watches",239.00,19.98,33.50,79.80,0.53,0.61,79.27,33.07,0.00,79.80,46.20,10.00,2.53,7.28,18.60,9.52,0.29,0.34,,,,,,,,,,311.82
Divine Power,,DPEL,INE0SCO01019,Industrial Products,Cables - Electricals,305.00,87.42,82.16,223.72,11.40,19.37,129.99,95.51,0.02,223.72,34.48,10.00,2.67,23.48,57.86,17.22,10.53,18.90,17.20,,,44.67,,,6.04,,,761.43
Divyadhan Recy.,,DIVYADHAN,INE0QYI01019,Textiles & Apparels,Other Textile Products,23.65,9.59,20.60,52.56,28.76,30.30,23.81,16.80,0.00,52.56,7.01,10.00,0.02,5.96,6.07,1.29,12.30,20.14,-0.65,,,8.09,,,12.03,,,33.83
Divyashakti,526315,,INE410G01010,Other Construction Materials,Other Construction Materials,51.94,0.59,188.44,213.26,94.75,131.70,118.03,11.89,0.17,213.26,106.14,10.00,1.49,9.90,4.23,100.84,25.32,57.92,90.46,76.24,70.63,0.39,0.14,0.00,29.73,31.67,7.40,53.34
Dixon Technolog.,540699,DIXON,INE935N01020,Consumer Durables,Consumer Electronics,11700.05,1389.12,4052.09,19650.52,4019.25,3562.98,13753.31,13621.26,1358.26,19650.52,132.05,2.00,642.63,11317.01,488.98,104.66,1996.25,2451.24,276.09,212.19,58.32,666.90,86.67,82.28,1003.29,414.08,179.05,71002.65
DJ Mediaprint,543193,DJML,INE0B1K01014,Transport Services,Logistics Solution Provider,96.30,16.20,38.51,93.85,17.41,34.15,65.70,15.51,0.00,93.85,50.19,10.00,1.01,2.43,17.80,18.20,21.70,31.10,21.53,2.43,0.20,7.30,5.10,0.53,7.66,2.99,2.11,331.05
DJS Stock,511636,,INE234E01027,Finance,Other Financial Services,2.38,0.00,-0.97,6.84,0.02,0.03,4.76,0.26,0.00,6.84,4.50,1.00,0.18,0.25,0.00,4.59,0.00,0.01,0.31,7.30,11.14,0.00,0.00,0.00,0.04,0.04,0.05,17.94
DLF,532868,DLF,INE271C01023,Realty,"Residential, Commercial Projects",671.95,1777.42,42507.04,68940.14,3476.80,4892.24,36571.04,22228.52,9932.60,68940.14,14342.52,2.00,2182.30,1871.35,4833.86,17500.98,3880.02,5230.08,13443.96,12624.80,17120.38,4181.84,8102.51,24494.94,4862.39,5186.87,8082.28,166328.51
DMCC Speciality,506405,DMCC,INE505A01010,Chemicals & Petrochemicals,Specialty Chemicals,254.90,39.56,208.91,374.30,225.69,320.76,139.00,107.11,18.51,374.30,31.89,10.00,2.28,54.19,87.71,8.00,238.12,309.78,-1.67,49.84,3.84,93.40,24.92,34.58,173.82,101.47,87.46,635.72
DMR Engineering,543410,,INE07L501010,Commercial Services & Supplies,Consulting Services,42.48,1.18,3.44,17.32,1.37,1.87,9.80,2.46,0.00,17.32,7.34,10.00,0.78,0.13,0.24,3.36,1.14,1.78,,,,,,,,,,44.15
Docmode Health,,DHTL,INE0OGG01015,Other Consumer Services,E-Learning,58.00,7.45,5.11,38.00,14.07,1.67,22.05,27.33,0.00,38.00,-5.28,10.00,0.69,5.23,9.18,4.37,0.97,1.13,3.28,-0.34,,4.84,0.02,,0.50,0.15,,18.23
